Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
DDX11L1	0.0				
WASH7P	0.20067460020025704	-0.11004136167269916	0.9024572810410709	0.805876960725246	
MIR6859-1	5.247554466843424	0.14948541256504083	0.6386766419427353	0.7418526120549915	0.8097160982678355
MIR1302-2HG	0.2941700906783359	-0.1356194667658049	0.9059589883036933	0.7079911143275048	
MIR1302-2	0.0				
FAM138A	0.0				
OR4G4P	0.0				
OR4G11P	0.0				
OR4F5	0.0				
AL627309.1	0.0				
AL627309.3	0.0				
CICP27	3.1377369524242527	-0.9704953330170627	1.0450142514997547	0.09531662336167455	0.15015853286129213
AL627309.6	79.09538750458263	1.4711745390023103	0.23493817171965356	9.865221706492909e-11	3.7223346115856175e-10
AL627309.7	101.59633540139895	1.5828406616540502	0.20774265037441322	7.850903152961877e-15	3.5705693223566884e-14
AL627309.2	0.18341169965310744	0.11028659223886977	0.9027576459209165	0.7117275189975929	
AL627309.5	27.779460046100052	1.75445104295449	0.3864480225118634	1.209126142954217e-06	3.5957973680347357e-06
RNU6-1100P	0.0				
AL627309.4	0.0				
FO538757.1	2.8082728814233464	-0.6999067003521176	0.9431212587821909	0.1687728538412264	0.2448335567151871
WASH9P	47.9484653855512	0.9078342347154684	0.28603284163865195	0.0007891925096628772	0.001808223671143844
MIR6859-2	0.0				
AP006222.1	0.7905368570392947	-0.000496594675288025	0.8390202539438291	0.9993262483821173	
AP006222.2	0.0				
RPL23AP24	0.0				
AL732372.1	0.0				
AL732372.2	60.760769657377	1.248255456385014	0.25582849661179297	3.781661508101056e-07	1.168164777785327e-06
WBP1LP7	0.0				
OR4F29	0.0				
CICP7	0.0				
AL732372.3	0.21941030936687092	0.11466038038361771	0.9038456501997624	0.7117275189975929	
FO681485.1	0.0				
AL669831.3	3.4146187130207375	-0.06755651794179007	0.6787249146873096	0.8786150204399106	0.9131534853046875
AC114498.1	0.0				
MTND1P23	4.575758170920675	0.7345062129441398	0.7724022733718192	0.15580033536401747	0.22910981299830657
MTND2P28	1086.1754260274927	0.5166165197490729	0.07242418269239652	8.009146461011291e-13	3.3334173496251622e-12
MTCO1P12	339.19060596907315	1.4945615520316788	0.40017726671130033	4.868234226169847e-05	0.0001264379311056355
AC114498.2	0.0				
MTCO2P12	15.44101421378448	0.3323160820667956	0.4413379425439819	0.3878651367632023	0.48939646310311413
MTATP8P1	0.3668233993062149	0.1830002336965883	0.9160744933539858	0.5031536344759806	
MTATP6P1	13084.759405770852	0.692016480673439	0.06827414845796942	2.817434610987776e-24	1.77968869294009e-23
MTCO3P12	16.999277962622145	0.3995034470699709	0.422002144024184	0.2846354858615029	0.38021370613968225
WBP1LP6	0.0				
OR4F16	0.0				
CICP3	0.870477683197581	-0.04349420605578184	0.8349064605345166	0.892775217116069	
AL669831.1	34.446160997613084	-0.08612934043031704	0.3191429156755258	0.7716681902917664	0.8326725333665512
RNU6-1199P	0.0				
AL669831.2	0.0				
LINC01409	46.553273180546846	-1.2003751444129225	0.3307377827091108	0.00010524794155749623	0.00026414575319115525
AL669831.6	0.0				
AL669831.4	1.529503389791408	-0.028898630606633974	0.7982881044968039	0.9381621350282476	0.9571007347838466
FAM87B	5.394056284711615	0.9502776946424766	0.7980555314948524	0.08285288158639319	0.13289541207592362
LINC01128	149.04270389876248	-0.020950847072755775	0.15866111516707704	0.8923791413367369	0.9232238977401847
LINC00115	10.481744551942885	0.9602681360411074	0.57837808293226	0.04051281324237315	0.0704697775560948
AL669831.7	0.0				
FAM41C	0.0				
TUBB8P11	0.0				
AL669831.5	0.0				
AL645608.6	0.5942949787120267	-0.3366159013312653	0.9563338967496434	0.3298120772365101	
AL645608.2	1.4165028411882024	-1.050036927046933	1.6433379869108597	0.04394303360520399	0.07580215115544059
AL645608.4	0.19801473313041515	0.1121553991036035	0.9032132065560884	0.7117275189975927	
LINC02593	2.168745260522834	-1.2630099344781067	1.5182198937412832	0.04674694542108098	0.080059885816391
SAMD11	1.5770038615543003	-0.13566268097516648	0.8054287774550651	0.7183155760291662	0.7923081648169041
NOC2L	1523.4278032643558	0.3147083422853096	0.06433486977627621	9.402485747097411e-07	2.8187552534762254e-06
KLHL17	177.58705670251152	0.0699560304375424	0.15379539104161682	0.6447335653658817	0.7288879914210232
PLEKHN1	30.91052962816957	-0.4540679876938242	0.3339167941188725	0.14203698378109617	0.21138088528814955
PERM1	0.9607903334180656	-0.2823995384864278	0.8826186458590399	0.39150337825815024	
AL645608.7	8.928048053182778	0.34130445908632373	0.5424164684862016	0.43556145638219823	0.536297765390058
HES4	57.87324595256345	-0.264468243939052	0.24535160700593156	0.2614993596759037	0.3544327625492987
ISG15	1247.4650469922951	1.29189803252545	0.20160898676376732	5.265820721734276e-11	2.009989317942305e-10
AL645608.3	0.0				
AL645608.1	1.162238686126856	-0.7367963011126496	1.2430751409153449	0.08339742012319147	0.1336399293234199
AGRN	11566.389521009667	0.10438535531495784	0.04732812861402848	0.026939060388528308	0.0486401490384313
AL645608.5	0.0				
AL390719.1	130.00276120946933	0.9474828568977357	0.1803987633853355	8.148028835846698e-08	2.6374005337516353e-07
AL645608.8	3.5165420814984913	0.35132904614470634	0.715323925170126	0.45305083574470634	0.5534709568287893
RNF223	56.9913505483744	2.971005079324471	0.32662714869037424	1.0382634704108325e-20	5.868040337383049e-20
C1orf159	215.54967144586016	0.28394424014459324	0.13243371489702885	0.03019492334586308	0.053913047531171446
AL390719.3	13.143989909936675	0.8064477959062296	0.5085425818071364	0.0593997424103796	0.09932689029774029
LINC01342	19.19714271842682	-2.474710371532596	0.5572766334572246	1.4330025712314405e-06	4.240429967214572e-06
MIR200B	3.885150208840439	-0.2839045247726317	0.7003409322504511	0.5397388698485746	0.6361528980976385
MIR200A	4.140445868162913	-0.3438702829074324	0.6890052199871518	0.4626575976028872	0.5629609498139851
MIR429	16.25931989361993	-0.4895536661362142	0.45799032992471733	0.2160157611606358	0.3027454145096608
AL390719.2	240.3202280797113	-0.7552717744848327	0.13204641510802687	6.9708088579335524e-09	2.3905643575459124e-08
TTLL10-AS1	3.135713318300324	-0.1393744269746947	0.6985260406742235	0.754580606130218	0.8199708554463547
TTLL10	17.66482207270809	-1.1206478731605232	0.4969243529023509	0.008927194171572794	0.01761440392864147
TNFRSF18	2.3387479575808237	-0.5720073625775947	0.8815586830875685	0.23958184776786615	0.32995657103843373
TNFRSF4	1.118599084747808	0.5758620420845462	1.0455124048844655	0.15703457985482508	0.2305656758910463
SDF4	2280.434302430547	0.9262075033135038	0.06238806068694088	3.902858537071197e-50	4.627470891311313e-49
B3GALT6	211.43850841086942	-2.5044481844395112	0.1656493081658307	1.9223363877450355e-52	2.397154533490755e-51
C1QTNF12	16.239564243730054	0.19366302685456824	0.4356877925114823	0.6127486390575358	0.7016910271790987
AL162741.1	2.340446115986368	0.04078372083934697	0.7439353007914182	0.9244270046292598	0.9473390805468009
UBE2J2	534.8988244446302	0.23759005432344374	0.08865952011490119	0.00710611593966442	0.014247444912920664
LINC01786	1.193658912242956	-0.44321180189141696	0.9417769510731316	0.24206987609985992	0.33265521910908696
SCNN1D	6.166264188570587	-1.4855041226635117	0.9128303536665829	0.021175474340041838	0.03904572734347884
ACAP3	595.3433897176691	0.3747417677351976	0.08971818638493126	2.687646871722644e-05	7.155899273735801e-05
MIR6726	0.0				
PUSL1	232.33416057239833	0.6345191144629122	0.13491704508681185	1.8795496362472426e-06	5.509293099364816e-06
INTS11	1490.1470379775535	0.520474104149498	0.06399415045610748	3.4768386577495773e-16	1.6700913781490338e-15
MIR6727	0.0				
AL139287.1	48.02269522600194	-0.09623019074127741	0.27294259154308276	0.7102624579474064	0.7848391500693653
CPTP	168.84806720620963	-0.5144684020769131	0.15306174028194838	0.000640196968132603	0.0014806147702305316
TAS1R3	6.21209949200823	-0.6881399780712916	0.6839535055803623	0.16738809130940463	0.24318282719213194
DVL1	1048.4698947646773	-0.4204332679398224	0.07471965579001383	1.600500682457515e-08	5.37884076878113e-08
MIR6808	0.0				
MXRA8	32.87857059222722	-3.170694556108512	0.48298535893904293	7.772858820151188e-12	3.0941221916195643e-11
AURKAIP1	900.023173093284	0.6580798824453216	0.07381885810303562	3.571763134682671e-19	1.906904078832233e-18
NDUFB4P8	0.604270361728769	-0.1295747598030691	0.8604534544220072	0.6895765795475666	
CCNL2	3161.235478057099	-0.00912641113808077	0.05165033120903882	0.8545039109772874	0.8958196277667781
MRPL20-AS1	242.97826823126448	-0.9561549179484315	0.13897461661829524	3.099859916626132e-12	1.255346309042268e-11
MRPL20	667.0064270344155	-0.4893033736675462	0.0850311619456627	7.331296748999265e-09	2.5100109056939462e-08
RN7SL657P	0.0				
AL391244.2	60.52754131746587	-1.0698646723850629	0.262227260002122	2.064165717755982e-05	5.5552757848812255e-05
ANKRD65	8.25639228122112	-0.6984071739283715	0.6449619935581808	0.14951312249947732	0.22119518812571914
AL391244.1	0.21941030936687092	0.11466038038361771	0.9038456501997624	0.7117275189975929	
TMEM88B	3.1093968717516507	-0.8042356940373367	0.9944358877562046	0.13034656071464418	0.19621262109170926
LINC01770	11.339795086880983	-3.351065257146476	0.8542663984801409	1.8400930276406774e-05	4.971125291556274e-05
VWA1	698.8524152909076	-1.6525616637267637	0.10211829655785824	1.482777771605888e-59	2.0958689175948976e-58
ATAD3C	37.584684744768616	-0.5653366341071507	0.30883864451472903	0.050711254081189865	0.08610728379583334
ATAD3B	490.47098496103837	0.583546883837906	0.09859093939460051	2.5740811925112757e-09	9.053637326904762e-09
AL645728.2	0.3945073907784644	-0.2067459201267982	0.917173443963885	0.5457538897821405	
ATAD3A	415.155656376024	-0.39982833429967696	0.11122797269947987	0.0002889031149183615	0.0006941640273404279
TMEM240	6.625010143803111	-0.30059415914719134	0.592198690062777	0.5071620730106691	0.6061440157335024
SSU72	1571.4089987678328	-0.07650458972711344	0.059645387671893584	0.19828623256449188	0.2811671229392488
AL645728.1	1.97136559060809	-0.6381649474416742	0.9699211764175243	0.18975006746879053	0.2705875299832309
AL691432.3	0.0				
FNDC10	0.0				
AL691432.4	0.0				
AL691432.2	50.27924382670195	0.2394818658257025	0.26581256208719706	0.34600163668720235	0.44602065677070213
MIB2	288.47046884543204	0.24329072533198248	0.11968276028246778	0.040270347857579866	0.0700964540029995
MMP23B	0.14708504533916794	-0.09459791839923727	0.8997161871829985	0.9188618098995333	
CDK11B	771.3809237001611	1.1515689813132	0.08071458862752146	1.3557367846180253e-46	1.502116580238397e-45
FO704657.1	0.0				
SLC35E2B	1025.8615434207989	-0.24092299686971083	0.07362529399657597	0.0010242700072948345	0.0023122357104001555
AL691432.1	29.718785709217762	0.8194642545350409	0.3586944349919108	0.012991715471870854	0.02496515964868351
MMP23A	0.19801473313041515	0.1121553991036035	0.9032132065560884	0.7117275189975927	
CDK11A	72.95499686599588	2.0808104373986853	0.2525731484541784	2.797987624026285e-17	1.3948691657907055e-16
AL031282.2	51.197912500248364	-0.2112481091509477	0.2762704722053803	0.42039065805832637	0.5215864379742394
AL031282.1	12.761255022281475	-1.9740069127525148	0.6576675857980565	0.0004736068490570271	0.0011109829160300363
SLC35E2A	226.01799565727083	-0.7900632268423562	0.14091702183105095	1.307515238478115e-08	4.414495644976476e-08
NADK	1073.9673705197508	0.5310926383741278	0.07565605781497985	1.821444996293921e-12	7.454895362360488e-12
GNB1	7164.292218127936	0.39463902582448246	0.04173636584413072	2.935554246358673e-21	1.6838933699745523e-20
AL109917.1	0.5993639335309292	-0.1067222384208601	0.8667091770973773	0.7120232402999519	
CALML6	1.9290841389387956	-0.9645456758825061	1.2856126035036044	0.07101860647975552	0.11615820296096879
TMEM52	5.594700075151859	-0.25753960512018526	0.625138653383328	0.5738748076596978	0.6665396448612586
CFAP74	0.9420546242514517	-0.5780763457142132	1.099085616634103	0.1353546187250259	
AL391845.2	0.0				
GABRD	0.21941030936687092	0.11466038038361771	0.9038456501997624	0.7117275189975929	
AL391845.1	0.14708504533916794	-0.09459791839923727	0.8997161871829985	0.9188618098995333	
PRKCZ	360.2633908611884	0.13419850243921777	0.11181649652514278	0.22633150072974312	0.31505923349109294
AL590822.2	5.281587862048257	1.8162588963114892	0.9656072461931963	0.008619750479993034	0.017052851338136922
PRKCZ-AS1	44.763191591364205	0.6935058599662488	0.285893083930225	0.010482595799119351	0.020463052952222473
FAAP20	426.4756580090986	-0.9243985570557297	0.10440315626092925	4.571738818098685e-19	2.4321779323897632e-18
AL590822.1	0.9148163406875598	-0.5259841295533313	1.0622357303073502	0.1567850903880229	
SKI	977.7628644800253	-0.2843443179229802	0.08015379186484786	0.00036840603307447024	0.0008751671102328944
AL590822.3	7.854411748675465	-3.610356188254121	1.1172175437274696	0.0003138289559801271	0.0007509490426230562
MORN1	102.24093770048404	-2.334709095226274	0.2348879118893073	4.771923008265067e-24	2.99010596021211e-23
AL589739.1	0.20067460020025704	-0.11004136167269916	0.9024572810410709	0.805876960725246	
AL513477.1	62.627607645011864	-3.1838999258300285	0.33459073506638504	3.4135956044754564e-22	2.022098018462873e-21
AL513477.2	4.411063243906756	-1.3653995611726908	1.058262011843043	0.03962589155430776	0.06902771206561892
RER1	1485.258344796855	-0.018521854395684146	0.0603999909180003	0.7584160305865286	0.8229958985923633
PEX10	179.78240325878963	-1.7441238559318994	0.16755999877546995	4.9311362109683205e-26	3.2948889492220646e-25
PLCH2	50.40457938411052	-0.2800135221654392	0.2672403571850756	0.2715681404790059	0.3655433331535268
AL139246.1	0.5204222096672565	-0.0545407051199742	0.8641608165827536	0.8353910809407702	
AL139246.4	1.2532996593211732	-0.157333017329201	0.8359492629556329	0.6460392278296192	0.7298542493101073
